部品名,詳細,数量,型番
抵抗,R1: 3216 1kΩ,1個,WR12X102 JTL
抵抗,R2: 2012 1kΩ,1個,WR08X102 JTL
抵抗,R3: 1608 1kΩ,1個,WR06X102 JTL
抵抗,R4: 1005 2.2kΩ,1個,WR04X222 JTL
抵抗,R5: 0603 1kΩ（予備1個）,1個 + 予備1個,WR02X102 JAL
LED,D1: 3216 赤 639nm,1個,LTST-C150KRKT
LED,D2: 2012 橙 605nm,1個,OSO50805C1C
LED,D3: 1608 黄 591nm,1個,OSYL1608
LED,D4: 1005 緑 525nm,1個,OSG50402C1C
LED,D5: 0603 青 470nm（予備1個）,1個 + 予備1個,OSB50201C1E
コンデンサ,C1: 1608 0.1µF,1個,GCM188L81H104KA57
マイコン,U1: ATtiny13A 8SOIC,1個,ATTINY13A-SS7
スイッチ,SW1: SSSS811101 または CUS-12TB,1個,CUS-12TB
電池ホルダ,B1: BK-913（スルーホール）,1個,BK-913
電池,CR2032(テスト用）,1個,
バッジ金具,貴和製作所 ウラピンNo.101,1個,ウラピンNo.101
基板,LBC-3202（直径32mm、FR4）,1個,LBC-3202
糸はんだ,0.3mm（約30cm、サンプル用）,1本,
説明書,Manual ver2.3,1枚,
